race,was_frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
White,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Asian/Pacific Islander,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
Other,Not frisked
