is_extra,ser_num,datestop,timestop,borough,sex,race,age,age_bucket,was_frisked,contrabn,contraband_found,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,gun_found,weapon_found,arrest_made,sumissue,summons_issued,perobs,perstop,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,physical_force_used,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,cs_other,reason_for_stop_2,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furt,rf_bulg,was_frisked,reason_for_frisk,xcoord,ycoord
0,22758,11142012,1155,Manhattan,Male,Black,18,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,4,4,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,1,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1018248,185557
0,4448,4112012,1315,Queens,Male,Black Hispanic,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,4,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1022909,213988
0,1874,2182012,2227,Queens,Male,Asian/Pacific Islander,19,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,3,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1031408,219218
0,594,2042012,2230,Bronx,Male,White,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,1,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1033760,243923
0,928,2142012,1030,Queens,Male,Asian/Pacific Islander,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,2,2,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1038927,197178
0,5765,4182012,1615,Queens,Female,Black,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,3,3,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1039726,195270
0,3731,4212012,10,Queens,Male,Black,19,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1053500,186880
0,5202,12112012,1415,Manhattan,Male,Black,18,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,Arrest made,0,No summons issued,2,5,0,0,0,0,0,0,1,0,0,Force used,0,1,0,1,0,0,0,0,0,0,Fits a relevant description,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,985888,204722
0,1625,4152012,1000,Manhattan,Male,White Hispanic,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,5,5,0,0,0,0,0,0,0,0,0,Force not used,0,1,0,0,0,0,1,0,0,0,Fits a relevant description,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,989350,205584
0,2825,11232012,1620,Brooklyn,Male,Black,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,10,0,0,0,0,0,0,0,0,0,Force not used,0,1,1,0,0,0,0,0,0,0,Fits a relevant description,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,991274,182364
